resId,rating,date,descreption,gId
257,8,06/06/2024,aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.,216
247,1,20/07/2025,"at augue id ante dictum cursus. Nunc mauris elit, dictum",897
95,1,12/09/2025,"dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies",305
129,9,17/06/2024,"rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi",862
985,2,04/01/2025,"in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est",115
895,8,25/06/2024,"augue ut lacus. Nulla tincidunt, neque vitae semper egestas, urna",763
389,5,23/02/2026,semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In,840
728,2,01/12/2025,ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et,592
279,4,12/07/2025,"vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis.",615
806,0,11/03/2025,neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc,419
65,2,27/11/2025,Vivamus non lorem vitae odio sagittis semper. Nam tempor diam,236
528,7,17/10/2024,Duis a mi fringilla mi lacinia mattis. Integer eu lacus.,320
810,4,15/11/2024,Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies,900
359,7,28/12/2025,"vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras",33
863,10,12/02/2025,varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla,265
515,10,13/02/2026,sed turpis nec mauris blandit mattis. Cras eget nisi dictum,119
183,5,18/10/2024,eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est.,425
165,5,11/10/2024,risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed,361
214,4,10/02/2026,"ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae,",511
821,2,19/07/2025,"ligula elit, pretium et, rutrum non, hendrerit id, ante. Nunc",721
234,5,19/02/2025,"Sed nunc est, mollis non, cursus non, egestas a, dui.",975
438,1,17/07/2025,Curae Donec tincidunt. Donec vitae erat vel pede blandit congue.,898
998,8,18/04/2025,"ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris",876
812,1,28/09/2024,mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie,111
33,6,08/11/2025,"tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh",115
233,4,23/03/2025,orci. Ut semper pretium neque. Morbi quis urna. Nunc quis,255
630,3,01/01/2026,"lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam",997
529,6,02/05/2024,"ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet",921
463,4,30/09/2025,arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus.,56
276,7,02/10/2024,fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh,6
451,1,06/03/2025,magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla,69
89,9,05/10/2025,"tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing,",509
413,7,09/10/2025,"sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum",630
647,9,17/02/2025,"adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at auctor",377
495,1,13/05/2024,"ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit",574
782,9,14/01/2025,egestas. Fusce aliquet magna a neque. Nullam ut nisi a,251
341,1,02/09/2025,Sed molestie. Sed id risus quis diam luctus lobortis. Class,341
485,9,03/11/2025,"tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec,",676
589,2,03/05/2024,Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac,789
903,7,24/12/2025,"aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in",202
308,4,16/04/2025,"consectetuer adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim",431
812,9,18/06/2025,"tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero at",5
796,5,05/06/2025,dictum augue malesuada malesuada. Integer id magna et ipsum cursus,344
793,1,20/07/2025,"lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed",912
175,1,11/03/2026,ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget,692
494,5,02/09/2025,neque. Sed eget lacus. Mauris non dui nec urna suscipit,732
702,3,04/04/2025,"convallis, ante lectus convallis est, vitae sodales nisi magna sed",713
284,6,26/12/2025,varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla,354
769,6,04/02/2025,"velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque vitae",829
46,0,06/06/2024,Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer,100
593,9,19/01/2026,Proin sed turpis nec mauris blandit mattis. Cras eget nisi,756
279,6,20/12/2024,"nunc risus varius orci, in consequat enim diam vel arcu.",207
195,3,13/10/2025,"sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy",853
229,4,27/03/2025,"sed pede nec ante blandit viverra. Donec tempus, lorem fringilla",184
122,4,28/09/2024,sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus,65
140,6,20/10/2024,"dui. Cum sociis natoque penatibus et magnis dis parturient montes,",925
422,2,08/10/2025,"vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie",445
867,2,02/02/2026,quam quis diam. Pellentesque habitant morbi tristique senectus et netus,917
675,5,16/10/2024,"egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla",145
906,7,24/05/2024,Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc,475
748,3,08/01/2025,"nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas",152
399,9,06/04/2025,"tellus sem mollis dui, in sodales elit erat vitae risus.",898
700,3,10/09/2025,lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum,467
730,4,12/03/2026,luctus et ultrices posuere cubilia Curae Phasellus ornare. Fusce mollis.,963
615,5,15/07/2025,"lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus",375
512,8,25/08/2024,"adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl",571
765,3,04/12/2024,"malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis",704
595,0,19/05/2025,enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida.,143
569,9,19/05/2025,"eget mollis lectus pede et risus. Quisque libero lacus, varius",315
970,4,30/06/2024,"lorem, sit amet ultricies sem magna nec quam. Curabitur vel",884
821,3,07/10/2025,nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus.,103
497,0,15/12/2025,neque. Nullam ut nisi a odio semper cursus. Integer mollis.,980
562,8,14/03/2025,luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi,288
841,5,09/03/2025,luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi,583
450,0,14/03/2026,volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis.,953
501,8,19/03/2026,metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh.,860
157,1,03/02/2026,Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies,172
174,10,21/11/2024,lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at,978
837,3,30/05/2024,consectetuer euismod est arcu ac orci. Ut semper pretium neque.,284
304,4,14/06/2025,Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat,973
377,4,09/10/2025,eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat,382
839,3,28/04/2024,Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc,444
682,9,31/12/2024,"parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique",700
616,9,31/07/2025,"laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend,",821
486,5,16/03/2026,"tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a",99
285,6,24/02/2025,"magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu",707
968,3,16/08/2024,"posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget,",608
536,10,13/07/2025,"dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer",972
203,6,02/04/2024,"mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae,",144
240,8,09/12/2024,dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In,607
667,1,29/04/2024,"enim. Nunc ut erat. Sed nunc est, mollis non, cursus",806
519,8,13/08/2025,non quam. Pellentesque habitant morbi tristique senectus et netus et,17
379,9,07/08/2025,"vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget",111
235,6,21/03/2026,"consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus",816
487,6,27/07/2024,blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer,698
825,5,14/04/2025,"rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque sed,",446
983,0,16/11/2025,"Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus,",59
453,9,06/07/2025,"Proin nisl sem, consequat nec, mollis vitae, posuere at, velit.",73
875,4,24/12/2025,"semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim",538
582,2,13/08/2024,"eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed",51
33,8,13/06/2025,"Sed nunc est, mollis non, cursus non, egestas a, dui.",137
13,6,09/03/2026,id nunc interdum feugiat. Sed nec metus facilisis lorem tristique,319
205,4,14/12/2024,vitae risus. Duis a mi fringilla mi lacinia mattis. Integer,523
549,4,01/06/2024,fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit.,880
713,9,10/03/2025,"Morbi accumsan laoreet ipsum. Curabitur consequat, lectus sit amet luctus",431
558,1,09/09/2025,"dui. Cum sociis natoque penatibus et magnis dis parturient montes,",586
12,0,14/10/2024,nec mauris blandit mattis. Cras eget nisi dictum augue malesuada,592
756,1,25/01/2026,Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc,847
808,4,07/12/2025,Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent,36
806,1,22/01/2026,"eget, dictum placerat, augue. Sed molestie. Sed id risus quis",342
889,10,23/06/2024,"et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget",425
17,5,23/07/2024,"neque vitae semper egestas, urna justo faucibus lectus, a sollicitudin",21
312,7,14/03/2026,"id, blandit at, nisi. Cum sociis natoque penatibus et magnis",118
547,1,06/01/2025,"pede, ultrices a, auctor non, feugiat nec, diam. Duis mi",224
721,8,10/12/2025,egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem,999
344,1,10/07/2025,Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada,259
118,3,04/04/2025,"purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula",255
805,8,21/08/2024,Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec,14
43,8,16/08/2024,ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis,108
68,1,27/11/2025,Proin sed turpis nec mauris blandit mattis. Cras eget nisi,14
350,8,24/12/2025,sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam,147
731,5,12/09/2025,"hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium",529
240,1,01/04/2024,et netus et malesuada fames ac turpis egestas. Aliquam fringilla,813
864,5,25/10/2025,"a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo",391
175,2,21/12/2024,Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac,325
280,5,19/03/2026,eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam,582
111,6,29/07/2025,ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt,72
454,3,04/06/2025,"Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi,",913
222,10,09/03/2025,"risus, at fringilla purus mauris a nunc. In at pede.",328
22,7,03/04/2025,enim non nisi. Aenean eget metus. In nec orci. Donec,343
569,9,29/07/2024,purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla,497
422,2,14/03/2025,"dictum eleifend, nunc risus varius orci, in consequat enim diam",928
20,1,10/03/2025,Donec non justo. Proin non massa non ante bibendum ullamcorper.,681
789,9,28/05/2025,"molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare,",818
881,6,19/07/2025,Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus.,951
437,6,22/12/2025,"non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum",380
590,6,31/10/2024,"lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus",800
673,5,02/06/2024,Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis,9
271,2,28/12/2024,"tincidunt, neque vitae semper egestas, urna justo faucibus lectus, a",617
88,3,25/07/2024,"nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem",994
241,8,22/08/2024,ac orci. Ut semper pretium neque. Morbi quis urna. Nunc,973
316,2,03/11/2024,"lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi.",547
518,6,15/07/2024,Proin vel arcu eu odio tristique pharetra. Quisque ac libero,66
145,2,15/04/2025,eget nisi dictum augue malesuada malesuada. Integer id magna et,746
826,7,22/01/2025,"elit. Aliquam auctor, velit eget laoreet posuere, enim nisl elementum",243
70,6,27/12/2025,"lorem, eget mollis lectus pede et risus. Quisque libero lacus,",622
320,7,28/05/2025,"varius et, euismod et, commodo at, libero. Morbi accumsan laoreet",935
543,2,03/11/2024,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",128
68,9,27/07/2025,Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis,706
212,1,20/10/2025,"consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus",127
83,1,04/10/2025,tempor erat neque non quam. Pellentesque habitant morbi tristique senectus,361
10,4,04/01/2025,"Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh",899
318,8,25/11/2025,turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi,132
267,3,10/10/2024,Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi,387
691,5,27/09/2024,"a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus",997
690,7,10/02/2026,nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus.,266
186,6,20/05/2025,"ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget",147
89,0,05/04/2024,adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut,500
993,0,02/09/2025,"vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy",456
215,0,19/10/2024,"euismod ac, fermentum vel, mauris. Integer sem elit, pharetra ut,",322
707,7,22/12/2024,fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem,465
756,6,19/02/2026,"pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare",452
38,5,17/08/2025,"amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat",481
949,3,29/03/2025,"sagittis felis. Donec tempor, est ac mattis semper, dui lectus",614
37,0,03/02/2026,"gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet",873
140,5,28/08/2024,molestie. Sed id risus quis diam luctus lobortis. Class aptent,213
564,3,23/04/2024,erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat,816
696,8,26/03/2025,sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et,360
269,1,29/09/2024,"vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum.",128
45,1,01/04/2025,in lobortis tellus justo sit amet nulla. Donec non justo.,163
501,3,19/08/2024,"sodales. Mauris blandit enim consequat purus. Maecenas libero est, congue",894
666,0,07/05/2024,Quisque ornare tortor at risus. Nunc ac sem ut dolor,320
835,9,26/06/2024,"accumsan convallis, ante lectus convallis est, vitae sodales nisi magna",654
979,4,09/04/2024,nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet.,980
408,6,24/09/2025,nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus.,641
876,1,21/06/2024,vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt,919
837,9,03/10/2025,Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis,686
364,8,16/11/2025,"orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu,",557
72,8,05/02/2025,molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris.,105
749,9,12/06/2025,"sit amet, dapibus id, blandit at, nisi. Cum sociis natoque",9
264,10,03/09/2025,"ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper",382
115,2,27/08/2025,"nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque,",160
696,2,02/04/2024,"mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris",528
111,1,27/06/2025,"luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed",527
779,9,17/06/2024,"elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet",752
687,1,27/08/2025,"arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida",598
405,4,21/01/2025,nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque,976
104,7,13/09/2024,Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat,438
759,6,11/06/2024,"nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere",183
983,0,12/12/2025,"dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent",759
51,1,04/07/2025,nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque,933
724,10,09/07/2024,"dictum eleifend, nunc risus varius orci, in consequat enim diam",52
365,8,24/07/2024,"laoreet, libero et tristique pellentesque, tellus sem mollis dui, in",547
726,6,10/06/2025,eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut,499
163,4,30/01/2025,"in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit",318
439,8,23/06/2024,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur",879
579,5,13/03/2026,"ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero",483
452,8,29/10/2024,"nunc est, mollis non, cursus non, egestas a, dui. Cras",973
644,1,29/08/2024,"nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris",639
